,IoU,F1,Precision,Recall,TP,TN,FP,FN,Fold,Img_id,Name
78,0.3415097376468695,0.5091423909391947,0.4765091627739849,0.5465739309634209,42436,531100,46620,35204,7,78,pspnet_tu-mobilenetv3_large_150d
79,0.3189203904639676,0.4836082492466105,0.4654505000510835,0.5032402179783003,41002,526795,47089,40474,7,79,pspnet_tu-mobilenetv3_large_150d
80,0.2804568090073719,0.4380574292463422,0.4702819454622594,0.4099658726022561,24386,568409,27468,35097,8,80,pspnet_tu-mobilenetv3_large_150d
81,0.3669239342145007,0.5368607938310079,0.4631850215630588,0.6384081477320092,35228,559351,40828,19953,8,81,pspnet_tu-mobilenetv3_large_150d
82,0.2649740666253345,0.4189399191909532,0.4425782335261283,0.3976986450602573,17523,589229,22070,26538,8,82,pspnet_tu-mobilenetv3_large_150d
83,0.2023857080480486,0.3366402423006196,0.5315488971305875,0.2463196218990977,21785,547719,19199,66657,8,83,pspnet_tu-mobilenetv3_large_150d
84,0.2367726140457786,0.3828878669478925,0.4100081457345971,0.3591327755075565,22147,561823,31869,39521,8,84,pspnet_tu-mobilenetv3_large_150d
85,0.2387193637396526,0.3854292921020735,0.5377186033757846,0.3003624976599329,17649,581428,15173,41110,8,85,pspnet_tu-mobilenetv3_large_150d
86,0.0815710470882884,0.1508380744989188,0.6256201501081288,0.0857571318964915,4918,595069,2943,52430,8,86,pspnet_tu-mobilenetv3_large_150d
87,0.269944613090483,0.4251281674931591,0.5231988026424442,0.3580194593067401,20275,580252,18477,36356,8,87,pspnet_tu-mobilenetv3_large_150d
88,0.0871756966516372,0.1603709444943026,0.4673111974007449,0.096794314134235,5897,587715,6722,55026,8,88,pspnet_tu-mobilenetv3_large_150d
89,0.2697800549029196,0.424924070686471,0.2886171370140717,0.8052012671454397,48548,475406,119661,11745,8,89,pspnet_tu-mobilenetv3_large_150d
90,0.1563432160823361,0.270409708653843,0.1640118708739628,0.7697847180109157,40620,395547,207045,12148,9,90,pspnet_tu-mobilenetv3_large_150d
91,0.1044569566117127,0.1891553237749872,0.1065315364829511,0.8428650942739859,24229,423408,203206,4517,9,91,pspnet_tu-mobilenetv3_large_150d
92,0.2417305863708399,0.389344659822445,0.2907830622469288,0.5889812183368343,38133,497610,93006,26611,9,92,pspnet_tu-mobilenetv3_large_150d
93,0.1938630663322482,0.324766000053639,0.2050992525010727,0.7796712023007254,36328,467970,140796,10266,9,93,pspnet_tu-mobilenetv3_large_150d
94,0.2708075909563985,0.4261976287890933,0.2853775896428288,0.8413759889920881,61147,429565,153120,11528,9,94,pspnet_tu-mobilenetv3_large_150d
95,0.2514991699511005,0.4019166388435196,0.2751964806485097,0.7449406255226626,44540,478262,117308,15250,9,95,pspnet_tu-mobilenetv3_large_150d
96,0.2721736122796193,0.4278875298976041,0.2847244972300591,0.8606160030741037,58231,441412,146286,9431,9,96,pspnet_tu-mobilenetv3_large_150d
97,0.2850040397587418,0.4435846595661303,0.3029350439777275,0.8280308323871081,75841,389255,174513,15751,9,97,pspnet_tu-mobilenetv3_large_150d
98,0.3340118043758832,0.5007628917229117,0.4621824419236661,0.5463709340943608,65476,459331,76191,54362,9,98,pspnet_tu-mobilenetv3_large_150d
99,0.3121145843615413,0.4757428780709917,0.3715352933173368,0.6611932249650573,60078,462873,101624,30785,9,99,pspnet_tu-mobilenetv3_large_150d
0,0.2523364485981308,0.4029850746268656,0.4681208053691275,0.3537616229923922,9207,618873,10461,16819,0,0,pspnet_tu-mobileone_s4
1,0.2266534891382284,0.3695477021753898,0.5112781954887218,0.289340227098434,11696,603757,11180,28727,0,1,pspnet_tu-mobileone_s4
2,0.2762634684453566,0.4329254503882007,0.4208700749896187,0.4456918182053338,17230,592992,23709,21429,0,2,pspnet_tu-mobileone_s4
3,0.2583022493500622,0.4105567632633262,0.3771454977554793,0.4504632367435442,11426,611125,18870,13939,0,3,pspnet_tu-mobileone_s4
4,0.0,0.0,0.0,0.0,0,620336,0,35024,0,4,pspnet_tu-mobileone_s4
5,0.1906477464892287,0.3202420649623317,0.5427714205972649,0.2271240875912408,7779,614557,6553,26471,0,5,pspnet_tu-mobileone_s4
6,0.2196070137273267,0.3601275021470569,0.5068219324547335,0.2792898953543478,21805,556069,21218,56268,0,6,pspnet_tu-mobileone_s4
7,0.2619587867561935,0.4151621899310142,0.5039194726527704,0.3529888930487957,33942,525790,33414,62214,0,7,pspnet_tu-mobileone_s4
8,0.206959025542309,0.342942918794312,0.5366835857208776,0.2519793595147122,38382,469903,33135,113940,0,8,pspnet_tu-mobileone_s4
9,0.2111635875353058,0.3486954028481315,0.5962022420498742,0.2464036308132859,36484,482584,24710,111582,0,9,pspnet_tu-mobileone_s4
10,0.1896957639061593,0.3188979395594823,0.5804479618496816,0.2198386012104909,22883,534730,16540,81207,1,10,pspnet_tu-mobileone_s4
11,0.2903904248403502,0.4500814935546007,0.4515355419239116,0.4486367798662872,45564,498454,55345,55997,1,11,pspnet_tu-mobileone_s4
12,0.2052878451106725,0.340645342012592,0.590182687974486,0.2394166811199497,51075,406563,35466,162256,1,12,pspnet_tu-mobileone_s4
13,0.2625859580609559,0.4159494351802044,0.4560505529225908,0.3823306079923714,21651,572907,25824,34978,1,13,pspnet_tu-mobileone_s4
14,0.1966027831426732,0.3286015809295203,0.4976808323931302,0.2452736933152106,7940,614974,8014,24432,1,14,pspnet_tu-mobileone_s4
15,0.2144495633903271,0.3531633916383606,0.3844293168388679,0.326600710448287,11125,603483,17814,22938,1,15,pspnet_tu-mobileone_s4
16,0.2954905855002848,0.4561833004539729,0.4510587295245705,0.4614256521216492,19193,590407,23358,22402,1,16,pspnet_tu-mobileone_s4
17,0.1283129899087419,0.2274421921157176,0.5093065693430657,0.1464131147540983,5582,611857,5378,32543,1,17,pspnet_tu-mobileone_s4
18,0.2682116853134434,0.4229762088135213,0.4892769210833225,0.3724996917005796,15103,599050,15765,25442,1,18,pspnet_tu-mobileone_s4
19,0.2573472940453638,0.4093495810809435,0.473326113570016,0.3606083977543809,20105,577236,22371,35648,1,19,pspnet_tu-mobileone_s4
20,0.2623647834746622,0.4156718991360049,0.5604998980839788,0.3303202072149855,43997,487666,34499,89198,2,20,pspnet_tu-mobileone_s4
21,0.3062410965233126,0.468889085389218,0.5241515650741351,0.4241680887372013,39770,525495,36105,53990,2,21,pspnet_tu-mobileone_s4
22,0.1377561753340936,0.2421541246192622,0.586209333553205,0.1525942369368319,24884,474722,17565,138189,2,22,pspnet_tu-mobileone_s4
23,0.2155340162279252,0.3546326361096427,0.5502905886764154,0.2616145636043583,23482,546412,19190,66276,2,23,pspnet_tu-mobileone_s4
24,0.1814151097554333,0.3071149306580112,0.5800417972831766,0.2088464721964433,16653,563565,12057,63085,2,24,pspnet_tu-mobileone_s4
